Tarih;Şimdi;Açılış;Yüksek;Düşük;Hac.;Fark %
29.12.2013;924,70;762,00;932,20;735,00;74,20K;0,21
22.12.2013;762,00;640,50;836,80;615,00;93,74K;0,19
15.12.2013;640,50;908,90;927,90;454,90;293,97K;-0,30
8.12.2013;908,90;697,00;1067,70;653,00;144,17K;0,30
1.12.2013;697,00;1205,70;1239,90;576,00;362,23K;-0,42
24.11.2013;1205,70;832,50;1241,90;745,20;213,00K;0,45
17.11.2013;832,50;462,00;900,90;453,30;379,68K;0,80
10.11.2013;462,00;367,80;476,90;290,00;228,96K;0,26
3.11.2013;367,80;211,70;395,00;212,10;294,92K;0,74
27.10.2013;211,70;188,60;216,50;188,90;63,77K;0,12
20.10.2013;188,60;183,10;233,40;175,30;254,87K;0,03
13.10.2013;183,10;142,90;195,80;141,50;201,72K;0,28
6.10.2013;142,90;136,70;143,10;134,10;64,32K;0,05
29.09.2013;136,70;142,50;145,80;109,70;212,39K;-0,04
22.09.2013;142,50;134,40;143,00;131,00;77,32K;0,06
15.09.2013;134,40;136,70;142,20;131,00;73,34K;-0,02
8.09.2013;136,70;129,00;145,90;124,00;137,01K;0,06
1.09.2013;129,00;141,00;148,90;121,30;130,89K;-0,09
25.08.2013;141,00;119,60;148,70;119,10;170,74K;0,18
18.08.2013;119,60;112,80;125,00;111,80;160,00K;0,06
11.08.2013;112,80;103,00;115,00;102,70;139,76K;0,09
4.08.2013;103,00;104,90;107,80;101,00;82,99K;-0,02
28.07.2013;104,90;94,40;111,70;94,00;191,74K;0,11
21.07.2013;94,40;89,80;97,50;88,00;105,87K;0,05
14.07.2013;89,80;98,30;101,90;86,20;177,26K;-0,09
7.07.2013;98,30;69,70;104,20;66,60;366,12K;0,41
30.06.2013;69,70;95,00;98,20;65,40;358,77K;-0,27
23.06.2013;95,00;108,20;110,00;92,30;234,92K;-0,12
16.06.2013;108,20;99,80;115,00;98,90;190,47K;0,08
9.06.2013;99,80;107,90;112,30;88,00;336,61K;-0,08
2.06.2013;107,90;129,30;130,10;106,20;273,71K;-0,17
26.05.2013;129,30;132,00;136,00;124,00;159,87K;-0,02
19.05.2013;132,00;123,20;134,00;119,50;157,31K;0,07
12.05.2013;123,20;115,60;125,60;103,00;399,53K;0,07
5.05.2013;115,60;112,90;124,90;97,50;568,14K;0,02
28.04.2013;112,90;128,00;149,10;79,00;956,24K;-0,12
