"Date,",Price,Open,High,Low,Vol.,Change %
7/18/2010,0.1,0.0,0.1,0.1,6550.0,0.0
7/25/2010,0.1,0.1,0.1,0.1,25290.0,0.0
8/1/2010,0.1,0.1,0.1,0.1,28560.0,0.0
8/8/2010,0.1,0.1,0.1,0.1,41260.0,0.0
8/15/2010,0.1,0.1,0.1,0.1,46720.0,0.0
8/22/2010,0.1,0.1,0.1,0.1,52940.0,0.0
8/29/2010,0.1,0.1,0.1,0.0,71760.0,0.0
9/5/2010,0.1,0.1,0.1,0.1,29590.0,0.0
9/12/2010,0.1,0.1,0.2,0.1,43620.0,0.0
9/19/2010,0.1,0.1,0.1,0.1,62800.0,0.0
9/26/2010,0.1,0.1,0.1,0.1,76070.0,0.0
10/3/2010,0.1,0.1,0.1,0.0,472960.0,0.0
10/10/2010,0.1,0.1,0.1,0.1,206140.0,0.0
10/17/2010,0.1,0.1,0.1,0.1,165870.0,0.0
10/24/2010,0.2,0.1,0.2,0.1,205850.0,88.53
10/31/2010,0.4,0.2,0.5,0.1,228000.0,96.08
11/7/2010,0.3,0.4,0.5,0.1,341460.0,-29.23
11/14/2010,0.3,0.3,0.3,0.2,146410.0,0.0
11/21/2010,0.3,0.3,0.3,0.3,73380.0,0.0
11/28/2010,0.2,0.3,0.3,0.2,136930.0,-27.56
12/5/2010,0.2,0.2,0.2,0.2,66890.0,0.0
12/12/2010,0.2,0.2,0.3,0.2,37500.0,0.0
12/19/2010,0.2,0.2,0.3,0.2,40100.0,0.0
12/26/2010,0.3,0.2,0.3,0.2,62380.0,20.05
1/2/2011,0.3,0.3,0.3,0.3,56700.0,0.0
1/9/2011,0.4,0.3,0.4,0.3,97030.0,19.54
1/16/2011,0.4,0.4,0.4,0.3,82880.0,15.1
1/23/2011,0.4,0.4,0.4,0.4,64420.0,0.0
1/30/2011,0.9,0.4,0.9,0.4,177620.0,109.57
2/6/2011,1.1,0.9,1.1,0.8,111640.0,17.39
2/13/2011,0.9,1.1,1.1,0.8,70900.0,-12.13
2/20/2011,1.0,0.9,1.0,0.8,53110.0,0.0
2/27/2011,0.9,1.0,1.0,0.8,71260.0,0.0
3/6/2011,0.9,0.9,0.9,0.8,54390.0,0.0
3/13/2011,0.8,0.9,0.9,0.7,47850.0,-16.67
3/20/2011,0.9,0.8,0.9,0.7,65510.00000000001,11.79
3/27/2011,0.8,0.9,0.9,0.8,37890.0,-8.56
4/3/2011,0.7,0.8,0.8,0.6,94680.0,-6.65
4/10/2011,1.0,0.7,1.1,0.7,222100.0,43.84
4/17/2011,1.7,1.0,2.0,1.0,230940.0,61.9
4/24/2011,3.5,1.7,4.2,1.5,315370.0,105.88
5/1/2011,3.6,3.5,3.9,2.5,154500.0,4.0
5/8/2011,7.2,3.6,8.9,3.6,292560.0,97.8
5/15/2011,6.1,7.2,8.5,5.6,223190.0,-15.0
5/22/2011,8.3,6.1,9.3,6.0,207810.0,35.62
5/29/2011,18.9,8.3,18.9,8.1,272940.0,127.59
6/5/2011,14.6,18.9,31.9,13.0,515020.0,-22.45
6/12/2011,16.9,14.6,25.0,10.3,481850.0,15.29
6/19/2011,17.5,16.9,18.9,16.9,30180.0,3.67
6/26/2011,15.4,17.5,18.0,14.0,179650.0,-12.05
7/3/2011,14.4,15.4,16.5,11.0,366200.0,-6.62
7/10/2011,13.7,14.4,15.7,13.5,190880.0,-4.59
7/17/2011,13.7,13.7,14.7,12.5,263670.0,0.0
7/24/2011,13.5,13.7,14.7,13.3,132600.0,-1.1
7/31/2011,6.6,13.5,14.9,5.7,398270.0,-51.59
8/7/2011,10.1,6.6,12.1,6.0,392070.0,54.66
8/14/2011,11.4,10.1,11.9,9.6,172350.0,13.03
8/21/2011,8.6,11.4,11.5,7.6,226800.0,-24.98
8/28/2011,8.5,8.6,9.5,8.0,112890.0,-1.28
