average_clustering,density,number_of_edges,number_of_nodes,degree_assortativity_coefficient
0.0074548658777515,2.9012294078308782e-05,83901,53777,-0.0342585661394527
0.0050571396101364,3.131308710620072e-05,81415,50991,-0.0147054715207112
0.0043213514039311,3.126867610145768e-05,76046,49316,0.0141049336366575
0.0068882426087726,2.7828533289361982e-05,90315,56969,-0.0540242954167851
0.0064790288552684,2.731113660556557e-05,90881,57686,-0.0282287908286876
0.0055697249101868,2.938139011669976e-05,76156,50912,-0.000225776409106
0.0063743921357602,2.693356267294541e-05,85118,56217,-0.0096989907020586
0.0045836144898547,2.8235704288134143e-05,79169,52952,-0.0086964978702854
0.0049278816703327,2.358523618948477e-05,92645,62675,0.0401496697250584
0.0066967439431071,2.23661200227899e-05,100415,67005,0.0100711842158228
0.0052579156837554,2.229431511895897e-05,99809,66910,0.0186083190505614
0.0051659528976453,2.224722702784592e-05,102184,67773,0.0029288649737156
0.0053988322037991,2.17649460149711e-05,105944,69769,-0.0091409407571982
0.0078711930983842,2.1638120038477705e-05,110878,71584,0.1087804291749288
0.0061054750546475,1.991418328761435e-05,121629,78152,0.1300303360487709
0.0052120312415548,2.2093284108865737e-05,106647,69478,0.0229642112010343
0.0055473715597784,2.2389135262233348e-05,108100,69486,0.0849849903294075
0.0062401816028977,2.379528209221152e-05,105148,66475,0.0385491286765391
0.0051131563399658,2.1470593370967083e-05,107559,70779,0.0434176318843655
0.004639495089207,2.184098503525888e-05,104702,69238,0.0637726859906009
0.006215338939523,2.2433293712540485e-05,108947,69689,0.1612630858232885
0.0059021101082276,2.1264996122026107e-05,103549,69782,0.0190998672350395
0.0066445514229577,2.028275779524824e-05,120027,76927,0.0033888599125014
0.0071127385262102,1.9761928723208736e-05,121361,78366,0.0534240933933816
0.0060769520043789,1.997930915123269e-05,122649,78351,0.0627704311972454
0.0078214855609846,1.6055563100996354e-05,181080,106200,0.1338502722874009
0.0082761041170743,1.2545071244313498e-05,249138,140924,0.0642429072193609
0.0059213204698243,9.17839382789425e-06,370405,200889,-0.0002073450416482
0.0055517878384492,8.741578826863959e-06,392098,211789,-0.0109071116825207
0.0064626551694997,9.094060754901472e-06,380567,204568,-0.0079614465598261
0.0048650451152733,7.091431893522906e-06,489387,262700,-0.0139042826678053
0.0049750838544517,5.817360670607075e-06,670232,339430,-0.0357562764338353
0.0089400180547344,8.563228579407842e-06,447957,228718,-0.0406334016528489
0.0103180102537849,8.844433381809294e-06,383822,208320,-0.0174503623757111
0.0115916408088395,9.523962408945662e-06,341198,189276,-0.0220898267446681
0.0137140791638404,8.582622536246721e-06,400785,216096,-0.025956769710914
0.0121195594278614,7.153974819944708e-06,500685,264551,-0.0140656881140321
0.0101179244099342,7.37844644790006e-06,442210,244812,-0.0199322044022213
0.013004969301091,6.992214116954114e-06,470141,259303,-0.0323410082864873
0.008622374656172,6.775521706102794e-06,465470,262105,-0.016402503221584
0.010411087562091,5.558418718179907e-06,606995,330459,-0.0239363874981352
0.0116396422365567,6.503261397812889e-06,491128,274810,-0.0078945381667631
0.0126688553242987,6.599979258860585e-06,505962,276878,-0.0188964114489262
0.012905422730453,6.452702688513626e-06,529218,286383,-0.0089246229137662
0.0144572720706738,7.66778423161111e-06,477553,249561,-0.0085932126353301
0.0161123084936667,7.925074766811369e-06,436659,234731,-0.0168678119327248
0.0127457080768249,8.166921944333228e-06,423271,227657,-0.0222808145112551
0.0111961579464002,7.304145741514015e-06,488852,258705,-0.0269783816914804
