average_clustering,density,number_of_edges,number_of_nodes,degree_assortativity_coefficient
0.00043662674650698596,0.00038966432541132637,2781,2672,-0.6861053592009174
0.0,0.0002953498518633368,3646,3514,-0.5916861956629887
0.0,0.0005092187175857846,2219,2088,-0.5787549556607304
0.00017776023693669247,0.0002959566337865458,4163,3751,-0.6315723627652639
0.01708548854317406,0.00023264299004181895,4999,4636,-0.6612678729816658
0.017152848169269548,0.0002037438456755894,7275,5976,-0.4381113516875365
0.00017969479966786103,0.00022474771152836888,6069,5197,-0.3149671348484623
0.056695433778760254,0.00014335643195926298,10817,8687,-0.3747557827949553
0.004530620331050866,0.00023968114922992887,6373,5157,-0.2868369594953416
0.004645302416117295,0.00019778291830899956,6865,5892,-0.25932678009748733
0.05639414351733727,5.045592469444384e-05,27065,23161,-0.22429902014413466
0.01188256840719939,9.964601268642117e-05,13989,11849,-0.1844453995492473
0.0,0.0003219299828997541,3435,3267,-0.6018811628720291
0.009095615211702341,9.901367973494872e-05,14383,12053,-0.14511414501238812
0.02750218830933784,7.164211750440125e-05,19731,16596,-0.16312432817971362
0.030472723814430426,6.410769698801727e-05,21852,18463,-0.14811274071201522
0.013554876131675296,5.992489186103644e-05,22131,19218,-0.06022843950143155
0.010249178787294401,4.4843378888309315e-05,30570,26110,-0.07707039542916408
0.008684474295927044,2.2406695229520748e-05,50000,47239,-0.08265408322020856
0.005069850382850828,1.52982310750257e-05,50000,57170,-0.046638288465849026
0.003276183633459861,1.7148999353898417e-05,50000,53997,-0.028024556753084247
0.0006510978098268628,1.3134293448433174e-05,50000,61700,-0.029594472677196965
0.00014112275368189864,9.62192848524669e-06,50000,72087,-0.0056179059639029465
0.0012352117543296115,0.000306621087715514,3531,3394,-0.5545722961152104
5.4097622035066875e-05,1.1447699338371883e-05,50000,66089,-0.08955368783327611
4.931218919822341e-05,9.471550035408897e-06,50000,72657,-0.10988406178544209
0.0003909536572399398,1.2347273914290252e-05,50000,63636,-0.08029303371205
0.0002360206197470961,1.057712770976519e-05,50000,68755,-0.08950878951495564
0.00038727999356896075,1.100734122162466e-05,50000,67398,-0.02256247040558715
0.0005700315555807725,1.3372936975935428e-05,50000,61147,-0.0443368245879669
0.0006460886368934786,1.2771988460195768e-05,50000,62569,-0.03772765225670576
0.0006415280224014094,1.201683167811411e-05,50000,64505,-0.04719857022703796
0.0007887682050731054,1.2685067826649209e-05,50000,62783,-0.03782414540900543
0.00037620367351868383,1.1324675972788e-05,50000,66447,-0.030270901811208055
0.00023614612788759807,0.0003228941470477399,3256,3176,-0.5600882049645387
0.00026469773884427254,1.1643131069205037e-05,50000,65532,-0.04906977395954658
0.0001422964623870967,1.0100647281678674e-05,50000,70358,-0.04729542273367718
0.00020823140799099466,9.99693981276126e-06,50000,70722,-0.017555325156647632
0.00011249618139959535,9.515503609269343e-06,50000,72489,-0.026345651624677814
0.000205079695940059,9.401803572423987e-06,50000,72926,-0.03582648431883052
0.0001411871537360308,9.978024932710336e-06,50000,70789,-0.050282440253869014
0.0002750468996161656,1.0623430900664967e-05,50000,68605,-0.05803663219203213
9.91357107812064e-05,9.484860837068979e-06,50000,72606,-0.019807448836574006
0.00016430070777682655,9.103544463033902e-06,50000,74111,-0.022797812576939615
9.15743493740699e-05,8.630031557201658e-06,50000,76117,-0.023936200443191783
0.0,0.00046613130875519974,2253,2199,-0.5700356492202364
5.1050413688756503e-05,8.754028297431487e-06,50000,75576,-0.038796490931014095
6.48943890290085e-06,8.412900363223203e-06,50000,77093,-0.028624898133966764
4.803299166930254e-05,8.554342241641255e-06,50000,76453,-0.028841653257480917
1.3315834952368858e-05,8.232942438660088e-06,50000,77931,-0.03815851697540921
4.695069762758443e-05,7.495988995235704e-06,50000,81672,-0.00764995444081799
0.0,7.270643632110541e-06,50000,82928,0.0015692873754240607
1.2129290106616407e-05,7.355904664927457e-06,50000,82446,-0.03513950412800295
4.3006266644122656e-05,8.104934401552795e-06,50000,78544,-0.025204335744585166
4.988287500947774e-06,7.166393306600577e-06,50000,83529,-0.04131003297206253
0.0,6.164548827286684e-06,50000,90061,-0.015320876833773183
0.02538137199488017,0.0006463903487234139,1856,1695,-0.7408321484535056
0.0,6.348161420071481e-06,50000,88749,-0.034131357091926516
1.458968475619234e-06,6.943186512628019e-06,50000,84861,-0.0203473064513798
2.4302245153571495e-06,6.290475379741751e-06,50000,89155,-0.010228703138127387
0.0,6.773873318551739e-06,50000,85915,-0.011194665079109399
0.0,6.216069366247891e-06,50000,89687,-0.018136340651113556
0.0,6.421901123358581e-06,50000,88238,-0.007547324956900005
1.570359550720096e-05,6.355320448322272e-06,50000,88699,0.006411339903142282
0.0,5.915149550490158e-06,50000,91940,-0.008640274176561468
0.0,5.785555605346818e-06,50000,92964,-0.012428120583017658
0.0,5.950564691273058e-06,50000,91666,-0.01662228622065305
0.03549570765936095,0.0007859179083196345,1615,1434,-0.7126564332892662
0.0,5.762721051473422e-06,50000,93148,-0.015716723306208387
0.0,5.7493810664795554e-06,50000,93256,-0.014729944717642622
0.0,5.910777032070286e-06,50000,91974,-0.014312804954283265
0.0,5.859697625337685e-06,50000,92374,-0.010359710878746873
0.0,6.115965327920289e-06,50000,90418,-0.006238836960634706
0.0,6.057939355701681e-06,50000,90850,0.00016528614242284064
0.0,6.130194801495352e-06,50000,90313,-0.001388758781584318
0.0,6.207622303770217e-06,50000,89748,0.0008407878624714137
0.0,6.237053623053555e-06,50000,89536,0.023474386411943042
0.0,6.649616091689626e-06,50000,86714,-0.020672186082423678
0.017125476271772987,0.0005701914757279444,2205,1967,-0.638605708242696
0.0,6.193673991672525e-06,50000,89849,0.0053078022824587885
0.0,6.211082131093523e-06,50000,89723,0.008944072663725636
0.0,6.379175467676963e-06,50000,88533,0.006057118666830062
0.0,6.370681514531044e-06,50000,88592,-0.01146393424869992
0.0,6.330031778658539e-06,50000,88876,-0.012803565304632955
0.0,6.395057076412639e-06,50000,88423,-0.0052694478962537475
0.0,6.324337736159341e-06,50000,88916,0.002435611144277583
0.0,6.3875420241978875e-06,50000,88475,-0.007199519643765905
0.0,6.373127184082635e-06,50000,88575,0.002964788284266362
0.0,6.8886908062686565e-06,50000,85196,0.00406334713917462
0.01003434714643401,0.0006112902012465417,2194,1895,-0.5538715713062564
0.0,6.846996872320586e-06,50000,85455,0.025440778210996925
1.750986388999136e-05,6.813309165544606e-06,50000,85666,0.025068230761903648
0.0,6.5163801557238135e-06,50000,87596,0.0015716379832663946
0.0,6.449354006582817e-06,50000,88050,0.020591600573129552
0.0,6.382202838733568e-06,50000,88512,-0.0013318898666610378
0.0,6.285539295581949e-06,50000,89190,0.024188300491659584
