Date,Close,Open,High,Low,Vol,Change %
7-Nov-10,0.3,0.4,0.5,0.1,341460.0,-0.29
14-Nov-10,0.3,0.3,0.3,0.2,146410.0,0.0
21-Nov-10,0.3,0.3,0.3,0.3,73380.0,0.0
28-Nov-10,0.2,0.3,0.3,0.2,136930.0,-0.28
5-Dec-10,0.2,0.2,0.2,0.2,66890.0,0.0
12-Dec-10,0.2,0.2,0.3,0.2,37500.0,0.0
19-Dec-10,0.2,0.2,0.3,0.2,40100.0,0.0
26-Dec-10,0.3,0.2,0.3,0.2,62380.0,0.2
2-Jan-11,0.3,0.3,0.3,0.3,56700.0,0.0
9-Jan-11,0.4,0.3,0.4,0.3,97030.0,0.2
16-Jan-11,0.4,0.4,0.4,0.3,82880.0,0.15
23-Jan-11,0.4,0.4,0.4,0.4,64420.0,0.0
30-Jan-11,0.9,0.4,0.9,0.4,177620.0,1.1
6-Feb-11,1.1,0.9,1.1,0.8,111640.0,0.17
13-Feb-11,0.9,1.1,1.1,0.8,70900.0,-0.12
20-Feb-11,1.0,0.9,1.0,0.8,53110.0,0.0
27-Feb-11,0.9,1.0,1.0,0.8,71260.0,0.0
6-Mar-11,0.9,0.9,0.9,0.8,54390.0,0.0
13-Mar-11,0.8,0.9,0.9,0.7,47850.0,-0.17
20-Mar-11,0.9,0.8,0.9,0.7,65510.00000000001,0.12
27-Mar-11,0.8,0.9,0.9,0.8,37890.0,-0.09
3-Apr-11,0.7,0.8,0.8,0.6,94680.0,-0.07
10-Apr-11,1.0,0.7,1.1,0.7,222100.0,0.44
17-Apr-11,1.7,1.0,2.0,1.0,230940.0,0.62
24-Apr-11,3.5,1.7,4.2,1.5,315370.0,1.06
1-May-11,3.6,3.5,3.9,2.5,154500.0,0.04
8-May-11,7.2,3.6,8.9,3.6,292560.0,0.98
15-May-11,6.1,7.2,8.5,5.6,223190.0,-0.15
22-May-11,8.3,6.1,9.3,6.0,207810.0,0.36
29-May-11,18.9,8.3,18.9,8.1,272940.0,1.28
5-Jun-11,14.6,18.9,31.9,13.0,515020.0,-0.22
12-Jun-11,16.9,14.6,25.0,10.3,481850.0,0.15
19-Jun-11,17.5,16.9,18.9,16.9,30180.0,0.04
26-Jun-11,15.4,17.5,18.0,14.0,179650.0,-0.12
3-Jul-11,14.4,15.4,16.5,11.0,366200.0,-0.07
10-Jul-11,13.7,14.4,15.7,13.5,190880.0,-0.05
17-Jul-11,13.7,13.7,14.7,12.5,263670.0,0.0
24-Jul-11,13.5,13.7,14.7,13.3,132600.0,-0.01
31-Jul-11,6.6,13.5,14.9,5.7,398270.0,-0.52
7-Aug-11,10.1,6.6,12.1,6.0,392070.0,0.55
14-Aug-11,11.4,10.1,11.9,9.6,172350.0,0.13
21-Aug-11,8.6,11.4,11.5,7.6,226800.0,-0.25
28-Aug-11,8.5,8.6,9.5,8.0,112890.0,-0.01
4-Sep-11,4.8,8.5,8.5,4.2,476410.0,-0.44
11-Sep-11,4.8,4.8,7.4,4.4,413360.0,0.0
18-Sep-11,5.5,4.8,6.8,4.7,384640.0,0.15
25-Sep-11,5.0,5.5,5.5,4.6,199840.0,-0.08
2-Oct-11,4.0,5.0,5.1,3.8,253060.0,-0.2
9-Oct-11,3.8,4.0,4.4,3.7,247140.0,-0.04
16-Oct-11,3.2,3.8,3.9,2.0,675350.0,-0.18
23-Oct-11,3.6,3.2,3.8,2.4,450690.0,0.13
30-Oct-11,3.0,3.6,3.7,2.8,268870.0,-0.17
6-Nov-11,3.0,3.0,3.2,2.8,252920.0,0.02
13-Nov-11,2.2,3.0,3.0,2.0,806160.0,-0.27
20-Nov-11,2.5,2.2,2.6,2.2,363450.0,0.12
27-Nov-11,2.8,2.5,3.1,2.4,609050.0,0.13
4-Dec-11,3.0,2.8,3.1,2.6,388450.0,0.09
11-Dec-11,3.2,3.0,3.4,3.0,329700.0,0.05
18-Dec-11,3.9,3.2,4.5,3.2,478620.0,0.23
25-Dec-11,4.7,3.9,5.0,3.8,457490.0,0.2
1-Jan-12,6.8,4.7,7.2,4.6,1020.0,0.44
8-Jan-12,6.8,6.8,7.2,5.8,757500.0,-0.01
15-Jan-12,6.2,6.8,7.2,4.6,871360.0,-0.08
22-Jan-12,5.6,6.2,6.4,5.1,560590.0,-0.09
29-Jan-12,5.9,5.6,6.2,5.3,387000.0,0.04
5-Feb-12,5.6,5.9,6.0,5.3,720250.0,-0.05
12-Feb-12,4.2,5.6,5.8,3.9,1080.0,-0.25
19-Feb-12,4.8,4.2,5.2,4.2,595590.0,0.13
26-Feb-12,4.6,4.8,5.1,4.5,403660.0,-0.03
4-Mar-12,4.8,4.6,5.1,4.6,334240.0,0.05
11-Mar-12,5.2,4.8,5.4,4.8,367600.0,0.08
18-Mar-12,4.7,5.2,5.3,4.5,475800.0,-0.1
25-Mar-12,4.9,4.7,4.9,4.3,365420.0,0.05
1-Apr-12,4.7,4.9,5.1,4.7,419100.0,-0.04
8-Apr-12,5.0,4.7,5.0,4.6,404720.0,0.06
15-Apr-12,5.3,5.0,5.5,4.9,385950.0,0.06
22-Apr-12,5.0,5.3,5.3,4.8,367930.0,-0.05
29-Apr-12,5.1,5.0,5.2,4.9,308530.0,0.02
6-May-12,4.9,5.1,5.1,4.8,326600.0,-0.03
13-May-12,5.1,4.9,5.1,4.9,282770.0,0.03
20-May-12,5.1,5.1,5.2,5.1,220540.0,0.0
27-May-12,5.3,5.1,5.3,5.0,243860.0,0.03
3-Jun-12,5.6,5.3,5.7,5.2,327560.0,0.06
10-Jun-12,6.4,5.6,6.6,5.4,379760.0,0.15
17-Jun-12,6.4,6.4,6.8,6.0,332470.0,0.0
24-Jun-12,6.7,6.4,6.7,6.2,277010.0,0.04
1-Jul-12,6.8,6.7,6.9,6.4,284010.0,0.01
8-Jul-12,7.5,6.8,7.9,6.7,337910.0,0.12
15-Jul-12,8.9,7.5,9.7,7.3,789950.0,0.17
22-Jul-12,8.9,8.9,9.2,7.8,357350.0,0.0
29-Jul-12,11.0,8.9,11.3,8.7,442240.0,0.24
5-Aug-12,11.5,11.0,12.0,10.1,379160.0,0.05
12-Aug-12,11.6,11.5,15.4,10.6,591640.0,0.01
19-Aug-12,10.5,11.6,11.6,7.6,759290.0,-0.09
26-Aug-12,10.0,10.5,12.1,9.7,432010.0,-0.05
2-Sep-12,11.0,10.0,11.3,9.7,270470.0,0.11
9-Sep-12,11.8,11.0,11.8,10.8,260010.0,0.06
16-Sep-12,12.2,11.8,12.7,11.7,223130.0,0.04
23-Sep-12,12.4,12.2,12.5,11.6,175000.0,0.01
30-Sep-12,12.5,12.4,13.1,12.3,210290.0,0.01
7-Oct-12,11.9,12.5,12.6,10.6,289170.0,-0.05
14-Oct-12,11.7,11.9,12.0,11.4,181900.0,-0.01
21-Oct-12,10.3,11.7,12.0,9.7,354680.0,-0.13
28-Oct-12,10.6,10.3,11.3,10.3,218240.0,0.04
4-Nov-12,10.9,10.6,11.2,10.5,151530.0,0.02
11-Nov-12,11.8,10.9,11.8,10.7,202400.0,0.08
18-Nov-12,12.4,11.8,12.5,11.6,184000.0,0.05
25-Nov-12,12.6,12.4,12.7,11.9,189370.0,0.01
2-Dec-12,13.4,12.6,13.7,12.4,226350.0,0.07
9-Dec-12,13.5,13.4,13.9,13.0,228090.0,0.01
16-Dec-12,13.4,13.5,13.7,12.8,241510.0,-0.01
23-Dec-12,13.4,13.4,13.7,13.0,139460.0,0.0
30-Dec-12,13.4,13.4,13.6,13.2,142190.0,0.0
6-Jan-13,14.2,13.4,14.4,13.4,228800.0,0.06
13-Jan-13,15.6,14.2,16.0,13.9,313710.0,0.1
20-Jan-13,17.9,15.6,19.2,15.4,485490.0,0.14
27-Jan-13,19.6,17.9,21.4,17.2,442230.0,0.1
3-Feb-13,23.6,19.6,24.0,19.4,318710.0,0.2
10-Feb-13,27.2,23.6,27.6,21.7,466620.0,0.15
17-Feb-13,29.8,27.2,31.3,25.0,417660.0,0.09
24-Feb-13,34.3,29.8,34.9,29.2,327360.0,0.15
3-Mar-13,46.8,34.3,49.1,33.3,520059.99999999994,0.37
10-Mar-13,47.0,46.8,48.5,36.7,384320.0,0.0
17-Mar-13,64.3,47.0,74.9,46.8,602060.0,0.37
24-Mar-13,92.2,64.3,95.7,62.7,511380.0,0.43
31-Mar-13,142.6,92.2,147.0,91.0,520929.99999999994,0.55
7-Apr-13,93.0,142.6,266.0,54.3,1380.0,-0.35
14-Apr-13,126.6,93.0,136.4,50.0,1810.0,0.36
21-Apr-13,128.0,126.6,166.4,110.0,876870.0,0.01
28-Apr-13,112.9,128.0,149.1,79.0,956240.0,-0.12
5-May-13,115.6,112.9,124.9,97.5,568140.0,0.02
12-May-13,123.2,115.6,125.6,103.0,399530.0,0.07
19-May-13,132.0,123.2,134.0,119.5,157310.0,0.07
26-May-13,129.3,132.0,136.0,124.0,159870.0,-0.02
2-Jun-13,107.9,129.3,130.1,106.2,273710.0,-0.17
9-Jun-13,99.8,107.9,112.3,88.0,336610.0,-0.08
16-Jun-13,108.2,99.8,115.0,98.9,190470.0,0.08
23-Jun-13,95.0,108.2,110.0,92.3,234920.0,-0.12
30-Jun-13,69.7,95.0,98.2,65.4,358770.0,-0.27
7-Jul-13,98.3,69.7,104.2,66.6,366120.0,0.41
14-Jul-13,89.8,98.3,101.9,86.2,177260.0,-0.09
21-Jul-13,94.4,89.8,97.5,88.0,105870.0,0.05
28-Jul-13,104.9,94.4,111.7,94.0,191740.0,0.11
4-Aug-13,103.0,104.9,107.8,101.0,82990.0,-0.02
11-Aug-13,112.8,103.0,115.0,102.7,139760.0,0.09
18-Aug-13,119.6,112.8,125.0,111.8,160000.0,0.06
25-Aug-13,141.0,119.6,148.7,119.1,170740.0,0.18
1-Sep-13,129.0,141.0,148.9,121.3,130889.99999999999,-0.09
8-Sep-13,136.7,129.0,145.9,124.0,137010.0,0.06
15-Sep-13,134.4,136.7,142.2,131.0,73340.0,-0.02
22-Sep-13,142.5,134.4,143.0,131.0,77320.0,0.06
29-Sep-13,136.7,142.5,145.8,109.7,212390.0,-0.04
6-Oct-13,142.9,136.7,143.1,134.1,64319.99999999999,0.05
13-Oct-13,183.1,142.9,195.8,141.5,201720.0,0.28
20-Oct-13,188.6,183.1,233.4,175.3,254870.0,0.03
27-Oct-13,211.7,188.6,216.5,188.9,63770.0,0.12
3-Nov-13,367.8,211.7,395.0,212.1,294920.0,0.74
10-Nov-13,462.0,367.8,476.9,290.0,228960.0,0.26
17-Nov-13,832.5,462.0,900.9,453.3,379680.0,0.8
24-Nov-13,1205.7,832.5,1241.9,745.2,213000.0,0.45
1-Dec-13,697.0,1205.7,1239.9,576.0,362230.0,-0.42
8-Dec-13,908.9,697.0,1067.7,653.0,144170.0,0.3
15-Dec-13,640.5,908.9,927.9,454.9,293970.0,-0.3
22-Dec-13,762.0,640.5,836.8,615.0,93740.0,0.19
29-Dec-13,924.7,762.0,932.2,735.0,74200.0,0.21
