Date;Price;Open;High;Low;Vol.;Change %
19.01.2014;954.8;905.7;958.1;901.9;7.57K;5.42%
18.01.2014;905.7;894.2;924.7;884.7;6.04K;1.29%
17.01.2014;894.2;913.5;929.8;867.2;10.31K;-2.12%
16.01.2014;913.5;941.2;955.5;910.5;5.10K;-2.95%
15.01.2014;941.2;919.3;973.1;915.1;6.83K;2.39%
14.01.2014;919.3;922.9;942.5;904.2;4.31K;-0.39%
13.01.2014;922.9;939.8;949.2;879.9;10.13K;-1.80%
12.01.2014;939.8;1005.3;1022.7;922.1;9.93K;-6.52%
11.01.2014;1005.3;957.8;1010.8;935;11.18K;4.97%
10.01.2014;957.8;937;964.8;905.9;6.35K;2.22%
9.01.2014;937;938.8;964.6;866.5;14.42K;-0.20%
8.01.2014;938.8;879.9;966.9;858.9;14.10K;6.70%
7.01.2014;879.9;1012.7;1044;879.8;22.67K;-13.11%
6.01.2014;1012.7;1014.7;1093.4;964.7;23.08K;-0.21%
5.01.2014;1014.7;924.7;1029.9;911.4;21.37K;9.74%
4.01.2014;924.7;884.3;932.2;848.3;14.24K;4.57%
3.01.2014;884.3;856.9;888.2;839.4;9.71K;3.19%
2.01.2014;856.9;815.9;886.2;810.5;12.81K;5.02%
1.01.2014;815.9;805.9;829.9;771;10.76K;1.24%
31.12.2013;805.9;804.8;813.9;777;9.17K;0.14%
